trip_id,origin,originX,originY,destination,destinationX,destinationY,purpose,person_id,distance,time_auto,time_bus,time_train,time_tram_metro,mode,departure_time,departure_time_return,coordx_hh,coordy_hh,school_zone,coordx_sch,coordy_sch,household_zone,household car,job_zone,coordx_job,coordy_job,age,gender,employment,driving license,income
1,307,4458333.0,5401478.0,150,4454201.5,5403652.0,HBW,4,5.6593476562500005,7.731978861490885,25.601961666666668,166.66666666666666,166.66666666666666,bicycle,654,804.0,4459357.5,5404594.5,3490,4466840.5,5333328.5,224,1,208,4458584.5,5403139.0,35,1,1,True,24900
3,307,4458333.0,5401478.0,62,4440785.0,5422935.0,HBW,5,35.8358046875,31.491703287760416,132.35271,166.66666666666666,166.66666666666666,bicycle,560,759.0,4459635.5,5404950.5,38,4416457.0,5385187.0,217,1,165,4456029.5,5405334.5,34,2,1,False,15756
5,217,4459635.5,5404950.5,210,4458134.0,5402398.5,HBW,11,3.7057646484375,4.7559972127278645,29.82395,166.66666666666666,166.66666666666666,bicycle,566,1082.0,4456909.5,5404174.5,4588,4476952.5,5305155.0,175,0,345,4459782.0,5400204.0,38,1,1,True,16188
10,97,4446857.5,5403459.0,104,4446521.5,5409711.5,HBW,35,7.1937324218750005,8.885196940104166,277.2063166666667,166.66666666666666,166.66666666666666,autoDriver,439,1033.0,4447776.0,5404714.0,2418,4420226.0,5326492.5,98,1,346,4460757.0,5401208.5,26,2,1,True,62976
12,97,4446857.5,5403459.0,133,4454594.0,5405640.0,HBW,36,9.7155654296875,10.846780395507812,71.43400833333334,166.66666666666666,166.66666666666666,autoDriver,365,937.0,4456444.5,5406434.5,449,4412426.5,5375911.5,140,1,140,4456697.5,5405594.0,29,1,1,True,64620
13,219,4460105.5,5405390.5,348,4461383.0,5400711.5,HBW,37,8.07601708984375,8.403016662597656,31.000765,166.66666666666666,166.66666666666666,bicycle,449,1110.0,4459260.0,5403390.0,3695,4469422.5,5331735.5,234,0,331,4455966.5,5397096.0,45,1,1,True,18408
20,254,4462704.5,5403608.0,1213,4481626.5,5365813.0,HBW,67,56.498171875,41.494771321614586,107.07183333333334,166.66666666666666,166.66666666666666,autoDriver,396,731.0,4455034.5,5403942.0,1581,4474798.5,5353037.5,152,0,253,4461551.0,5401820.5,61,2,1,True,7764
22,101,4452093.5,5402188.0,127,4453418.5,5407541.0,HBW,70,6.8171953125,8.716914876302083,166.66666666666666,166.66666666666666,166.66666666666666,autoDriver,392,699.0,4456652.5,5403668.0,1074,4431066.0,5344851.5,182,0,308,4458717.0,5401331.5,46,1,1,True,13968
23,148,4454194.0,5404034.0,250,4461209.0,5402519.0,HBW,72,7.968109375,10.385831705729167,41.16307,166.66666666666666,166.66666666666666,autoDriver,401,942.0,4456456.5,5404915.5,1319,4446216.5,5338439.5,142,0,211,4458475.0,5402320.5,33,2,1,True,24528
25,148,4454194.0,5404034.0,346,4461051.5,5400922.0,HBW,73,8.24019921875,11.201010131835938,36.249966666666666,166.66666666666666,166.66666666666666,autoDriver,452,1149.0,4456712.0,5407911.5,1321,4449318.0,5341578.0,138,2,184,4457622.5,5404833.5,24,1,1,True,13920
27,205,4457932.5,5403233.5,231,4459172.0,5403989.0,HBW,74,2.2755378417968752,3.537678527832031,7.596860833333333,166.66666666666666,166.66666666666666,walk,468,1033.0,4454585.5,5403703.5,4549,4463687.0,5309696.0,149,0,176,4455843.5,5404093.5,34,1,1,False,16200
30,340,4459732.0,5401117.0,308,4458636.5,5401516.0,HBW,79,1.672876953125,2.6907808939615885,1.7125206666666666,166.66666666666666,166.66666666666666,bus,720,1318.0,4458244.5,5403480.0,1308,4452017.5,5343078.5,198,1,347,4461513.0,5401573.5,59,2,1,True,24288
33,244,4460131.0,5402671.5,195,4457867.0,5403423.5,HBW,84,3.60026416015625,5.209860229492188,15.104716666666668,14.65952,166.66666666666666,train,425,1080.0,4455072.0,5403340.0,3814,4473599.0,5334252.0,154,0,144,4457278.0,5405323.5,49,1,1,True,15984
34,315,4458273.0,5400741.5,346,4461147.5,5401156.5,HBW,100,3.9407333984375,6.0391693115234375,16.508558333333333,166.66666666666666,166.66666666666666,autoDriver,389,921.0,4460195.5,5403740.0,2054,4536602.0,5389760.0,236,1,346,4461206.5,5400939.0,56,1,1,True,20424
35,315,4458273.0,5400741.5,327,4453765.0,5398415.0,HBW,101,9.0492255859375,9.255877685546874,40.75595,166.66666666666666,166.66666666666666,autoDriver,461,1113.0,4457115.5,5400985.5,2230,4533772.5,5387332.0,297,0,184,4457325.5,5404596.5,56,2,1,True,12612
36,349,4458861.0,5399781.5,324,4458681.0,5400025.5,HBW,105,1.8293101806640624,2.840826924641927,27.146986666666663,166.66666666666666,166.66666666666666,walk,482,987.0,4459875.0,5400372.5,2564,4451086.0,5335179.0,345,1,348,4463475.5,5402807.5,40,1,1,True,26772
38,245,4458908.5,5402192.5,39,4428105.0,5400256.5,HBW,114,35.49829296875,34.35000406901042,166.66666666666666,166.66666666666666,166.66666666666666,autoDriver,1225,340.0,4458001.0,5400565.0,1430,4460063.5,5342235.0,312,0,210,4458063.5,5402470.0,30,2,1,True,20172
40,242,4461848.5,5404059.0,399,4470622.5,5399917.0,HBW,123,18.10130078125,15.418772379557293,37.17976,19.40835,166.66666666666666,train,567,1086.0,4459755.5,5405362.0,4150,4472713.0,5330110.5,218,0,345,4459733.5,5400132.0,45,2,1,True,15852
41,324,4458471.0,5400071.0,244,4459691.0,5402794.5,HBW,124,4.983409667968751,7.3627685546874995,26.6683,166.66666666666666,166.66666666666666,bus,416,609.0,4458508.5,5404509.5,2781,4463637.0,5335663.0,189,1,318,4458474.5,5400413.0,37,1,1,True,41712
42,336,4457812.5,5397977.5,99,4451879.5,5402609.5,HBW,128,12.724548828125,15.566316731770833,48.79236166666667,166.66666666666666,166.66666666666666,autoDriver,743,83.0,4459409.5,5401827.0,1781,4468830.0,5340984.5,248,0,211,4458841.0,5402416.5,49,1,1,True,34608
43,336,4457812.5,5397977.5,205,4457906.0,5403402.5,HBW,129,6.5068383789062505,8.79569600423177,20.385175,166.66666666666666,166.66666666666666,autoDriver,483,1005.0,4454828.5,5403977.0,3069,4462414.5,5328884.5,149,0,143,4457171.5,5405001.5,46,2,1,True,1464
44,336,4457812.5,5397977.5,339,4459289.375507409,5401550.114404408,HBW,131,4.88858154296875,7.69056396484375,42.74221666666666,166.66666666666666,166.66666666666666,autoDriver,516,1042.0,4458454.5,5401030.5,3985,4465565.0,5329203.5,310,1,239,4460916.0,5405727.5,20,2,3,True,0
46,313,4457416.0,5400239.0,7,4426097.5,5416253.0,HBW,132,48.94615234375,48.52064615885416,344.1929666666667,166.66666666666666,166.66666666666666,autoDriver,617,1211.0,4458601.5,5401041.5,2874,4462371.0,5333121.5,310,1,187,4457705.0,5404436.5,38,1,1,True,58284
47,313,4457416.0,5400239.0,346,4461117.5,5400920.0,HBW,133,5.2832451171875,8.23714345296224,28.203648333333334,166.66666666666666,166.66666666666666,autoDriver,604,1203.0,4456558.5,5408159.0,3007,4461444.0,5330760.5,134,1,253,4461487.0,5401866.5,39,2,1,True,42840
48,340,4459734.0,5401593.5,399,4470870.0,5399535.0,HBW,137,19.554158203125,15.296994018554686,32.17975833333333,14.475016666666669,166.66666666666666,train,774,1393.0,4456324.0,5404296.0,3320,4467717.0,5336057.5,171,0,235,4459919.5,5404036.5,46,2,1,True,19548
50,168,4456058.0,5404455.0,165,4456104.5,5405097.5,HBW,144,1.148177734375,1.7369340260823567,0.8881020833333333,166.66666666666666,166.66666666666666,walk,450,837.0,4446635.5,5403341.5,3437,4468594.5,5334818.0,97,0,339,4458895.0,5401307.5,29,1,1,True,18744
51,222,4460098.0,5405778.0,284,4445716.0,5398768.0,HBW,159,21.1636953125,22.77733154296875,49.68531833333333,166.66666666666666,166.66666666666666,autoDriver,578,741.0,4461550.5,5401826.0,4882,4510068.5,5300043.0,253,0,347,4461494.0,5401279.5,28,1,1,True,21864
52,142,4456456.5,5404915.5,144,4457711.0,5405274.0,HBW,160,2.336200927734375,3.662487030029297,24.272096666666663,166.66666666666666,166.66666666666666,bus,417,974.0,4456902.0,5400752.0,4858,4510184.5,5301365.5,300,1,165,4455828.0,5405076.0,38,1,1,True,33288
53,138,4456712.0,5407911.5,147,4454499.0,5404394.5,HBW,162,6.989229980468751,11.542440795898438,48.04027166666666,46.23390333333333,166.66666666666666,bicycle,356,981.0,4457496.5,5404503.5,2996,4459039.0,5330029.5,184,2,347,4461374.5,5401232.5,67,2,1,True,6420
55,305,4457320.0,5400942.5,486,4438748.0,5377294.5,HBW,166,43.46101953125,35.49899088541667,358.14681666666667,122.14681,278.14681666666667,autoDriver,485,587.0,4455098.5,5403689.0,2424,4428224.5,5331412.0,154,2,145,4458064.0,5405052.5,37,1,1,True,56232
56,135,4456052.0,5407882.5,321,4456233.5,5399144.5,HBW,171,13.524138671875,18.485758463541668,35.71861666666667,166.66666666666666,166.66666666666666,bicycle,464,1067.0,4460927.0,5403618.5,2480,4432217.0,5323880.0,241,1,184,4457622.5,5404833.5,50,1,1,True,19152
57,135,4456052.0,5407882.5,321,4456233.5,5399144.5,HBW,171,13.524138671875,18.485758463541668,35.71861666666667,166.66666666666666,166.66666666666666,autoDriver,377,528.0,4460927.0,5403618.5,2480,4432217.0,5323880.0,241,1,184,4457622.5,5404833.5,50,1,1,True,19152
59,179,4456256.0,5403410.5,336,4457727.5,5398584.0,HBW,176,8.24674609375,10.70067647298177,35.591406666666664,166.66666666666666,166.66666666666666,autoDriver,350,970.0,4462329.0,5404258.5,4628,4487846.5,5294809.5,240,0,198,4458343.5,5403364.5,45,2,1,True,4392
61,179,4456256.0,5403410.5,286,4451177.5,5398181.5,HBW,175,13.914041015625,16.439039103190105,55.4869,166.66666666666666,166.66666666666666,autoDriver,472,645.0,4456195.0,5399424.5,4744,4494056.5,5299441.0,319,2,187,4457903.0,5404445.5,44,1,1,True,22512
63,299,4456650.0,5400725.5,144,4457660.5,5405507.5,HBW,181,6.6557641601562505,9.028370157877603,33.638191666666664,166.66666666666666,166.66666666666666,autoDriver,582,1245.0,4458479.5,5400230.0,2302,4493254.0,5351869.0,318,1,144,4457687.0,5405085.5,48,1,1,True,90060
65,231,4459018.0,5403785.0,115,4461306.5,5406591.0,HBW,198,5.04369873046875,6.2337793986002605,35.541093333333336,166.66666666666666,166.66666666666666,autoDriver,480,749.0,4459097.5,5405016.0,285,4442882.0,5402796.5,216,0,144,4457589.0,5405675.0,60,1,1,True,14724
66,331,4456321.0,5397236.5,357,4462944.0,5398468.0,HBW,207,8.38818359375,9.356463623046874,62.71031166666666,166.66666666666666,166.66666666666666,walk,1312,685.0,4459008.0,5403466.0,1684,4468381.0,5348383.5,233,0,208,4458382.0,5403231.0,51,2,1,True,23088
69,189,4458575.0,5404706.5,255,4463840.0,5402670.0,HBW,212,6.672515625,6.855515543619791,22.781265,166.66666666666666,166.66666666666666,autoDriver,515,1320.0,4454829.0,5403739.5,1151,4463495.5,5372164.5,149,0,332,4456571.0,5397597.0,28,1,1,True,23136
70,324,4458339.5,5399864.0,111,4453843.0,5408290.5,HBW,216,12.552623046875,17.967559814453125,59.29208499999999,166.66666666666666,166.66666666666666,autoDriver,398,759.0,4456533.0,5404331.0,2467,4415634.5,5323054.0,174,1,184,4457377.5,5404731.0,59,1,1,True,24672
72,186,4457291.5,5404232.0,241,4460939.0,5403569.0,HBW,217,4.393681640625,5.680690511067708,11.77221,166.66666666666666,166.66666666666666,autoDriver,407,935.0,4459327.0,5400418.0,371,4460487.0,5391346.5,344,1,238,4460063.0,5403592.0,49,1,1,True,25908
74,186,4457291.5,5404232.0,376,4463724.0,5405691.5,HBW,218,13.90852734375,14.75180155436198,38.58735,166.66666666666666,166.66666666666666,autoDriver,796,153.0,4456759.0,5405023.0,1161,4467760.5,5385898.5,142,2,145,4458064.0,5405052.5,46,2,1,True,23460
76,236,4460195.5,5403740.0,346,4460757.0,5401208.5,HBW,221,3.21002001953125,2.5600001017252603,12.662951666666666,166.66666666666666,166.66666666666666,bicycle,355,716.0,4458753.5,5399160.0,1166,4472820.0,5384978.0,326,1,318,4458474.5,5400413.0,58,2,1,True,4968
79,301,4456764.5,5400297.5,174,4456618.945927827,5404262.167681318,HBW,228,6.3764609375,9.14426066080729,26.134643333333333,166.66666666666666,166.66666666666666,bus,486,1093.0,4458658.5,5402983.0,4579,4453281.5,5290120.0,208,1,321,4455976.5,5398594.5,27,1,3,True,13776
