Feature,Importance
TravelCost_Uam,0.046856523
"Mode_withLicense_Public transport (e.g. S-Bahn, Bus, Regional train)",0.028011102
InVehicleTime_RideHailing,0.02717495
TravelCost_Car,0.022739861
WaitingTime_PublicTransport,0.022655819
InVehicleTime_PublicTransport,0.02206212
TravelCost_RideHailing,0.015401202
WaitingTime_RideHailing,0.013445844
Mode_withLicense_Car as driver,0.013216779
Share_UAMRide_Strongly agree,0.011857811
Availability_Uam,0.011289468
tripLength,0.010914312
"Mode_with_NoLicense_Public Transport (e.g. S-Bahn, Bus, Regional train)",0.01075318
UAM_asMode_Very likely,0.0104900105
Education_University or university of applied sciences (Master’s or PhD degree),0.009395014
UAM_asMode_Very unlikely,0.008414421
Adult_household_I prefer not to answer,0.008408947
Safety_AutonomousCar_Disagree,0.008336665
"Ride_Hailing_Provider_Yes, more than one provider(s)",0.008080172
HouseholdCar_3 or more,0.007819319
WaitingTime_Uam,0.007780882
InVehicleTime_Car,0.007778663
Driving_License_No,0.007711371
PT_Subscription_Yes,0.0076818364
Driving_License_Yes,0.007610074
Comfort_AerialVeh_Agree,0.007550015
"PT_Subscription_Airport_No, but my employer covers the extra cost",0.007413022
TravelCost_PublicTransport,0.0073833643
Gender,0.0073578516
Cost_Airport_Neither satisfied nor dissatisfied,0.007334858
HouseholdCar_0,0.0069942353
TravelCost_CarSharing,0.0069886036
Elect_vs_convo_Strongly agree,0.006932656
Elect_vs_convo_Neutral,0.0068623377
InVehicleTime_Uam,0.0066760383
Child_Household_I don't have children,0.0066428096
Current_Travel_Satisfied,0.006639471
UAM_asMode_Likely,0.006618482
Live_Urban area,0.006615372
"PT_Subscription_Airport_Yes, at no extra cost",0.0066062957
Car_Sharing_Provider_No,0.006573192
"Mode_withLicense_Car-sharing (e.g. ShareNow, SIXT Share, Miles)",0.0065267896
PT_Subscription_No,0.006478888
Safety_AutonomousCar_Neutral,0.0064758523
familiar_ElectricVeh_Neutral,0.0064071864
ConnectedVeh_Strongly agree,0.0063723074
ElecVeh_Capacity_Neutral,0.0062589436
Employment_Working part-time,0.006226685
"Ride_Hailing_Provider_Yes, one provider",0.0062094233
"Mode_with_NoLicense_Public transport (e.g. S-Bahn, Bus, Regional train)",0.0062083313
HowOften_airport_Once per week or more often,0.006180989
Mode_withLicense_Car as passenger,0.00605652
UAM_Noise_Strongly agree,0.0059708087
Age,0.0059157973
UAM_asMode_Unlikely,0.005806939
