driving license_No,driving license_Yes,household car_0,household car_1,household car_2,household car_3,gender_female,gender_male,"employment_Pupil, student or apprentice/intern",employment_Unemployed,employment_Working full-time,age,monthly income,veh_time,mode,mode_enc,prob_0,prob_1,prob_2,prob_3,prob_4
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.2857142857142857,1.0,0.0906224337280523,4,4,0.17968439,0.2730925,0.074258424,0.024917908,0.44804674
1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.2857142857142857,1.0,0.3805711826261242,4,4,0.20158403,0.09875135,0.0136893075,0.015184407,0.6707909
0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.2857142857142857,1.0,0.0543054234664169,4,4,0.07324008,0.8207543,0.018986136,0.012101532,0.07491795
0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.1428571428571428,1.0,0.1046955826039233,1,1,0.17985192,0.22923304,0.07847908,0.029497733,0.48293823
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.1428571428571428,1.0,0.1286335146501639,1,1,0.17985192,0.22923304,0.07847908,0.029497733,0.48293823
0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.4285714285714285,1.0,0.0988113574463385,4,4,0.059995417,0.67612296,0.020013412,0.016848385,0.22701983
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.7142857142857142,1.0,0.5026423400824607,1,1,0.10928569,0.2094887,0.014162323,0.019198868,0.6478644
0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.4285714285714285,1.0,0.1026419740272408,1,1,0.059995417,0.67612296,0.020013412,0.016848385,0.22701983
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.2857142857142857,1.0,0.1230083864496131,1,1,0.07324008,0.8207543,0.018986136,0.012101532,0.07491795
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.1428571428571428,1.0,0.1329563117932687,1,1,0.23695023,0.2886588,0.17586929,0.023462143,0.27505952
0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5714285714285714,1.0,0.029102821067203,2,2,0.1150125,0.19572452,0.023333743,0.022854952,0.6430743
0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.4285714285714285,1.0,0.0598440825653593,3,3,0.059995417,0.67612296,0.020013412,0.016848385,0.22701983
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5714285714285714,1.0,0.0699644495557656,1,1,0.1150125,0.19572452,0.023333743,0.022854952,0.6430743
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5714285714285714,1.0,0.1092191375262559,1,1,0.0778996,0.5127215,0.024422891,0.019122083,0.36583397
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.2857142857142857,1.0,0.4154520895183571,1,1,0.12908684,0.41630024,0.018783696,0.02169067,0.41413853
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4285714285714285,1.0,0.1844272322861095,3,3,0.059995417,0.67612296,0.020013412,0.016848385,0.22701983
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.2857142857142857,1.0,0.0861168231150119,2,2,0.17968439,0.2730925,0.074258424,0.024917908,0.44804674
0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.4285714285714285,1.0,0.1862277708598647,1,1,0.059995417,0.67612296,0.020013412,0.016848385,0.22701983
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4285714285714285,0.3333333333333333,0.1036033694150903,1,1,0.09378131,0.16268979,0.021176785,0.01800826,0.70434386
0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.1428571428571428,0.0,0.0901170323499411,1,1,0.06596341,0.17437021,0.07410666,0.018552786,0.6670069
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.2857142857142857,1.0,0.5883817023083848,1,1,0.2722,0.14734949,0.017128652,0.018999383,0.5443225
0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.2857142857142857,1.0,0.0967871450124467,1,1,0.17968439,0.2730925,0.074258424,0.024917908,0.44804674
