Feature,Importance
TravelCost_Uam,497.6
TravelCost_Car,160.3
InVehicleTime_PublicTransport,141.3
"Mode_withLicense_Public transport (e.g. S-Bahn, Bus, Regional train)",100.3
TravelCost_RideHailing,87.1
InVehicleTime_RideHailing,86.5
InVehicleTime_Uam,55.7
UAM_asMode_Very likely,55.5
Mode_withLicense_Car as driver,50.5
Share_UAMRide_Strongly agree,46.5
WaitingTime_PublicTransport,44.0
Cost_Airport_Neither satisfied nor dissatisfied,40.4
ConnectedVeh_Disagree,39.2
"Car_Sharing_Provider_Yes, more than one provider(s)",37.9
Elect_vs_convo_Agree,36.3
Monthly_Income,35.4
HouseholdCar_2,32.8
tripLength,31.0
Safety_AutonomousCar_Disagree,26.2
Share_UAMRide_Strongly disagree,25.2
InVehicleTime_Car,24.6
HowOften_airport_6 times per year,19.3
Adult_household_1,17.4
Gender,16.9
Education_University or university of applied sciences (Bachelor’s degree),13.8
HouseholdCar_1,13.5
Live_Countryside,13.4
Age,13.1
Elect_vs_convo_Strongly agree,12.8
InVehicleTime_CarSharing,12.5
Share_UAMRide_Disagree,12.1
WaitingTime_RideHailing,11.8
Current_Travel_Satisfied,11.4
UAM_asMode_Very unlikely,11.2
Live_Urban area,10.7
WaitingTime_Uam,10.7
WaitingTime_CarSharing,10.3
Comfort_AerialVeh_Agree,9.8
Safety_AutonomousCar_Neutral,9.8
Share_UAMRide_Neutral,9.4
"Ride_Hailing_Provider_Yes, more than one provider(s)",8.6
Child_Household_I don't have children,8.5
Car_vs_Plane_Strongly agree,8.2
Safety_Plane_Neutral,8.0
HouseholdCar_0,7.9
Cost_Airport_Satisfied,7.7
Cost_Airport_Very dissatisfied,7.5
Elect_vs_convo_Strongly disagree,6.6
UAM_asMode_Unlikely,6.3
Physical_Disabilities_Yes,5.3
TravelCost_CarSharing,5.0
Elect_vs_convo_Neutral,5.0
PT_Subscription_No,4.7
Car_Sharing_Provider_No,4.7
Used_DAS_Agree,4.6
UAM_Noise_Disagree,4.1
Comfort_AerialVeh_Strongly agree,3.7
Employment_Working part-time,3.5
Car_vs_Plane_Disagree,3.4
Safety_Plane_Agree,3.2
Current_Travel_Neither satisfied nor dissatisfied,3.2
HowOften_airport_1 time per month,3.0
HowOften_airport_4 times per year,2.9
Car_vs_Plane_Neutral,2.7
Driving_License_No,2.7
UAM_Noise_Neutral,2.6
TravelCost_PublicTransport,2.6
