Feature,Importance
TravelCost_Uam,652.9
Monthly_Income,176.0
InVehicleTime_PublicTransport,153.6
TravelCost_Car,128.8
Age,122.7
TravelCost_RideHailing,106.4
Mode_withLicense_Public_transport__e_g__S_Bahn__Bus__Regional_train_,90.5
InVehicleTime_Car,90.0
WaitingTime_PublicTransport,65.0
HouseholdCar_1,56.4
InVehicleTime_Uam,56.3
TravelCost_PublicTransport,55.6
Gender,53.4
tripLength,53.3
UAM_asMode_Very_likely,53.1
Share_UAMRide_Strongly_agree,53.0
InVehicleTime_RideHailing,51.9
WaitingTime_Uam,51.9
Mode_withLicense_Car_as_driver,50.6
ConnectedVeh_Disagree,49.9
Adult_household_2,48.3
Current_Travel_Satisfied,46.9
Car_vs_Plane_Strongly_agree,46.8
Child_Household_I_don_t_have_children,46.6
ConnectedVeh_Agree,44.3
WaitingTime_RideHailing,42.3
UAM_Noise_Neutral,42.0
Flight_Safety_Agree,41.5
Safety_Plane_Agree,40.3
Adult_household_1,40.0
Safety_Plane_Strongly_agree,38.9
Availability_RideHailing,37.5
HouseholdCar_2,36.8
Used_DAS_Agree,36.6
InVehicleTime_CarSharing,36.5
Elect_vs_convo_Agree,36.0
Car_vs_Plane_Disagree,36.0
Availability_Uam,35.6
Comfort_AerialVeh_Agree,35.1
HowOften_airport_Less_than_2_times_per_year,34.9
UAM_asMode_Likely,34.0
Share_UAMRide_Agree,33.5
UAM_asMode_Neutral,33.3
Car_Sharing_Provider_Yes__more_than_one_provider_s_,33.3
Cost_Airport_Satisfied,33.3
Live_Countryside,33.2
Cost_Airport_Neither_satisfied_nor_dissatisfied,33.1
Comfort_AerialVeh_Disagree,33.0
familiar_ElectricVeh_Neutral,32.6
Car_Sharing_Provider_No,32.5
Safety_AutonomousCar_Disagree,32.3
Safety_AutonomousCar_Neutral,32.1
Car_vs_Plane_Neutral,31.6
Ride_Hailing_Provider_Yes__more_than_one_provider_s_,31.2
Education_High_school_graduate,31.0
Education_University_or_university_of_applied_sciences__Master_s_or_PhD_degree_,30.5
ElecVeh_Capacity_Neutral,30.5
Share_UAMRide_Neutral,29.8
familiar_ElectricVeh_Agree,29.0
Access_PrivateCar_Yes__I_own_a_car_or_I_have_leased_a_car,28.6
Elect_vs_convo_Neutral,27.9
Reason_Tourism,27.8
Ride_Hailing_Provider_No,27.7
Employment_Working_full_time,27.4
UAM_asMode_Unlikely,27.3
WaitingTime_CarSharing,27.1
ElecVeh_Capacity_Agree,26.5
TravelCost_CarSharing,23.2
UAM_asMode_Very_unlikely,23.1
Used_DAS_Strongly_agree,22.3
ConnectedVeh_Neutral,21.9
Safety_AutonomousCar_Agree,21.7
Reason_Business_trip,21.5
Current_Travel_Neither_satisfied_nor_dissatisfied,21.2
PT_Subscription_No,21.0
UAM_Noise_Agree,21.0
Education_University_or_university_of_applied_sciences__Bachelor_s_degree_,20.8
HowOften_airport_4_times_per_year,20.6
Cost_Airport_Dissatisfied,20.3
Elect_vs_convo_Strongly_agree,19.8
Flight_Safety_Strongly_agree,19.5
Car_vs_Plane_Strongly_disagree,19.1
Comfort_AerialVeh_Neutral,18.4
Availability_CarSharing,18.3
Share_UAMRide_Strongly_disagree,17.6
Elect_vs_convo_Disagree,17.4
Mode_withLicense_Car_sharing__e_g__ShareNow__SIXT_Share__Miles_,16.9
HowOften_airport_2_times_per_year,16.8
Current_Travel_Dissatisfied,16.3
Cost_Airport_Very_dissatisfied,16.1
Used_DAS_Disagree,15.9
Comfort_AerialVeh_Strongly_agree,15.9
UAM_Noise_Disagree,15.4
Reason_Visiting_family_or_friends,15.2
Live_Urban_area,14.9
Comfort_AerialVeh_Strongly_disagree,14.6
ElecVeh_Capacity_Disagree,14.2
familiar_ElectricVeh_Disagree,14.2
Access_PrivateCar_No,13.8
Car_Sharing_Provider_Yes__one_provider,13.8
HowOften_airport_6_times_per_year,13.6
Mode_withLicense_Car_as_passenger,13.6
Employment_Working_part_time,13.0
ConnectedVeh_Strongly_agree,13.0
Share_UAMRide_Disagree,13.0
Child_Household_1,12.9
Adult_household_4_or_more,12.7
PT_Subscription_Airport_Yes__at_no_extra_cost,12.1
Used_DAS_Strongly_disagree,12.0
Safety_AutonomousCar_Strongly_disagree,11.4
Child_Household_I_prefer_not_to_answer,11.3
Safety_Plane_Neutral,11.2
HouseholdCar_0,11.0
ElecVeh_Capacity_Strongly_agree,11.0
Access_PrivateCar_Yes__but_I_do_not_own_a_car__e_g__I_have_a_company_car_or_access_to_a_shared_family_car_,10.8
Physical_Disabilities_No,10.2
Flight_Safety_Neutral,9.7
HowOften_airport_1_time_per_month,9.7
PT_Subscription_Airport_No__I_have_to_pay_on_top,9.0
Employment_Pupil__student_or_apprentice_intern,8.9
Ride_Hailing_Provider_Yes__one_provider,8.9
Physical_Disabilities_Yes,8.7
Flight_Safety_Disagree,8.3
PT_Subscription_Yes,8.1
Used_DAS_Neutral,7.4
Child_Household_2,7.3
familiar_ElectricVeh_Strongly_disagree,6.9
Safety_AutonomousCar_Strongly_agree,6.3
Elect_vs_convo_Strongly_disagree,6.1
familiar_ElectricVeh_Strongly_agree,5.7
Employment_Retired,5.4
CompanyCar_Yes__I_have_a_company_car_that_I_can_also_use_privately,5.4
UAM_Noise_Strongly_agree,5.3
Current_Travel_Very_dissatisfied,5.3
ElecVeh_Capacity_Strongly_disagree,5.2
Car_vs_Plane_Agree,4.9
