feature,importance
TravelCost_Uam,0.050031316
InVehicleTime_PublicTransport,0.032955028
"Mode_withLicense_Public transport (e.g. S-Bahn, Bus, Regional train)",0.032949977
TravelCost_Car,0.029391956
InVehicleTime_RideHailing,0.02412124
TravelCost_RideHailing,0.019399894
Mode_withLicense_Car as driver,0.016155612
WaitingTime_PublicTransport,0.015230414
InVehicleTime_Car,0.01496301
UAM_asMode_Very likely,0.012929445
UAM_asMode_Very unlikely,0.012898803
"PT_Subscription_Airport_Yes, at no extra cost",0.012527002
Elect_vs_convo_Strongly agree,0.011412447
Share_UAMRide_Strongly agree,0.010634614
WaitingTime_RideHailing,0.01056706
TravelCost_PublicTransport,0.010038902
PT_Subscription_Yes,0.00967983
"Ride_Hailing_Provider_Yes, more than one provider(s)",0.009665457
Education_University or university of applied sciences (Master’s or PhD degree),0.009433252
Child_Household_I don't have children,0.009010497
Safety_AutonomousCar_Disagree,0.008857524
PT_Subscription_No,0.008853036
Availability_Uam,0.008823991
Gender,0.008811649
Car_vs_Plane_Neutral,0.008432979
HouseholdCar_0,0.008363513
WaitingTime_Uam,0.008093473
"Mode_with_NoLicense_Public Transport (e.g. S-Bahn, Bus, Regional train)",0.008061432
tripLength,0.007987952
InVehicleTime_Uam,0.0077671423
Adult_household_2,0.0077043427
UAM_asMode_Unlikely,0.007701126
Comfort_AerialVeh_Agree,0.007624975
Current_Travel_Satisfied,0.0075483946
HouseholdCar_3 or more,0.007538511
Cost_Airport_Neither satisfied nor dissatisfied,0.007502499
HouseholdCar_2,0.007335222
"Mode_withLicense_Car-sharing (e.g. ShareNow, SIXT Share, Miles)",0.007334148
Ride_Hailing_Provider_No,0.007279037
Current_Travel_Dissatisfied,0.0072484063
HowOften_airport_Once per week or more often,0.00702623
Car_Sharing_Provider_No,0.006956745
ConnectedVeh_Strongly agree,0.0067053707
Mode_withLicense_Car as passenger,0.0066368207
Car_vs_Plane_Strongly disagree,0.006617325
Elect_vs_convo_Neutral,0.0066165603
Monthly_Income,0.006588879
TravelCost_CarSharing,0.0064884527
Adult_household_1,0.0064603463
familiar_ElectricVeh_Agree,0.00633613
Comfort_AerialVeh_Strongly agree,0.0062982813
Live_Countryside,0.0062595382
Live_Urban area,0.006230206
Safety_AutonomousCar_Neutral,0.006224944
Age,0.0060594357
InVehicleTime_CarSharing,0.0060178796
Reason_Business trip,0.005999456
Used_DAS_Strongly agree,0.0059814327
ConnectedVeh_Agree,0.005965886
ElecVeh_Capacity_Agree,0.0059009977
Employment_Working part-time,0.005695252
Adult_household_I prefer not to answer,0.0056334687
HouseholdCar_1,0.005611401
ElecVeh_Capacity_Neutral,0.0055484464
Education_University or university of applied sciences (Bachelor’s degree),0.005383975
Share_UAMRide_Agree,0.005328311
Safety_Plane_Agree,0.005260195
ElecVeh_Capacity_Disagree,0.0051784324
Employment_Working full-time,0.0051214965
Cost_Airport_Satisfied,0.00511711
UAM_Noise_Disagree,0.005010096
Comfort_AerialVeh_Disagree,0.00499315
Share_UAMRide_Neutral,0.0049878424
ElecVeh_Capacity_Strongly disagree,0.0047893026
Car_vs_Plane_Strongly agree,0.0047600064
UAM_asMode_Neutral,0.0047542495
Reason_Other,0.0047467817
Share_UAMRide_Strongly disagree,0.004746083
Availability_CarSharing,0.004648124
HowOften_airport_1 time per month,0.0046419576
Elect_vs_convo_Agree,0.004571934
Physical_Disabilities_No,0.0045554964
Child_Household_1,0.0045206556
HowOften_airport_4 times per year,0.0044983774
Car_vs_Plane_Disagree,0.004472833
familiar_ElectricVeh_Neutral,0.0044093602
Safety_Plane_Strongly agree,0.0043950127
UAM_Noise_Neutral,0.004366555
Current_Travel_Neither satisfied nor dissatisfied,0.0043656905
"Car_Sharing_Provider_Yes, one provider",0.0043250304
ConnectedVeh_Disagree,0.0042853607
Availability_RideHailing,0.0041894424
ElecVeh_Capacity_Strongly agree,0.004128806
"Access_PrivateCar_Yes, but I do not own a car (e.g. I have a company car or access to a shared family car)",0.004085381
Elect_vs_convo_Disagree,0.004059719
Flight_Safety_Disagree,0.004035608
Safety_Plane_Neutral,0.0040339814
Used_DAS_Agree,0.0040199435
Reason_Visiting family or friends,0.0040125283
UAM_asMode_Likely,0.0039378605
Cost_Airport_Very dissatisfied,0.0039044016
Safety_AutonomousCar_Strongly agree,0.0038832377
"Car_Sharing_Provider_Yes, more than one provider(s)",0.0038720623
Flight_Safety_Agree,0.0038235285
familiar_ElectricVeh_Strongly disagree,0.0037693854
UAM_Noise_Agree,0.0037689204
"Employment_Pupil, student or apprentice/intern",0.003755714
Share_UAMRide_Disagree,0.003736391
"CompanyCar_Yes, I have a company car that I can also use privately",0.0037282365
HowOften_airport_2 times per year,0.00372663
Used_DAS_Disagree,0.0037189093
"Access_PrivateCar_Yes, I own a car or I have leased a car",0.0035721213
Used_DAS_Strongly disagree,0.0035588653
Child_Household_I prefer not to answer,0.0034684166
Reason_Tourism,0.0033624985
Physical_Disabilities_Yes,0.0033510202
Education_High school graduate,0.0033352606
HowOften_airport_6 times per year,0.0032789684
Adult_household_4 or more,0.0031904033
Employment_Retired,0.003177071
Mode_withLicense_Other,0.003152404
Access_PrivateCar_No,0.0031115208
Safety_Plane_Strongly disagree,0.003108604
"Mode_withLicense_Ride-hailing (e.g. Taxi, Uber, FreeNow)",0.0030711072
Current_Travel_Very dissatisfied,0.0030595344
Safety_AutonomousCar_Strongly disagree,0.003055023
Child_Household_2,0.0030224975
CompanyCar_0,0.0030136812
Safety_AutonomousCar_Agree,0.0029666317
HowOften_airport_2 times per month,0.002955691
Child_Household_3,0.0029514886
UAM_Noise_Strongly disagree,0.0028986759
CompanyCar_No,0.0028504129
HowOften_airport_Less than 2 times per year,0.002849541
Used_DAS_Neutral,0.002686176
Comfort_AerialVeh_Neutral,0.00266615
Flight_Safety_Neutral,0.002560405
UAM_Noise_Strongly agree,0.002509004
"Ride_Hailing_Provider_Yes, one provider",0.0023990036
familiar_ElectricVeh_Strongly agree,0.0023982797
Adult_household_3,0.0022582286
Comfort_AerialVeh_Strongly disagree,0.002206779
"Mode_with_NoLicense_Public transport (e.g. S-Bahn, Bus, Regional train)",0.0021952644
WaitingTime_CarSharing,0.0021918914
"PT_Subscription_Airport_No, I have to pay on top",0.0021658174
ConnectedVeh_Strongly disagree,0.0021504206
Current_Travel_Very satisfied,0.0021005708
Safety_Plane_Disagree,0.0020975769
Flight_Safety_Strongly agree,0.0020399946
familiar_ElectricVeh_Disagree,0.0020270257
Cost_Airport_Dissatisfied,0.0020120211
Cost_Airport_Very satisfied,0.0019959896
Driving_License_No,0.0018503873
ConnectedVeh_Neutral,0.00180146
Elect_vs_convo_Strongly disagree,0.001758252
"PT_Subscription_Airport_No, but my employer covers the extra cost",0.0017043334
Car_vs_Plane_Agree,0.0016105408
Mode_with_NoLicense_Car as passenger,0.0012126412
Education_Other,0.0011586224
Flight_Safety_Strongly disagree,0.0010704342
Mode_withLicense_0,0.0010620079
Employment_Other,0.0009901244
Employment_I prefer not to answer,0.00066831487
Education_I prefer not to answer,0.00062478095
Mode_with_NoLicense_0,0.00062463543
Education_Not finished school,0.0004360128
Live_I prefer not to answer,0.00038637008
PT_Subscription_Airport_0,0.00036031485
Physical_Disabilities_I prefer not to answer,0.00031469643
Driving_License_Yes,0.00019534836
Access_PrivateCar_0,0.0
"Mode_with_NoLicense_Ride-hailing (e.g. Taxi, Uber, FreeNow)",0.0
Reason_Medical travel,0.0
Car_Sharing_Provider_0,0.0
"CompanyCar_Yes, I have a company car, but I can't use it privately",0.0
Employment_Unemployed,0.0
Availability_Car,0.0
WaitingTime_Car,0.0
Employment_Housewife or househusband,0.0
Availability_PublicTransport,0.0
