prob_class_0,prob_class_1,prob_class_2,prob_class_3,prob_class_4,true_label,pred_label
0.14543977,0.15393437,0.14440924,0.1440918,0.41212484,4,4
0.14954363,0.14768197,0.14325756,0.14276646,0.41675037,4,4
0.29220974,0.18968354,0.14887442,0.1490438,0.22018847,0,0
0.28575763,0.1961264,0.15339209,0.1535666,0.21115732,0,0
0.2613934,0.20959051,0.16238755,0.16257231,0.20405626,1,0
0.15226719,0.1463256,0.14074992,0.14079061,0.41986668,4,4
0.14301544,0.1408788,0.1418743,0.1419153,0.43231615,4,4
0.15396431,0.1483008,0.14467858,0.1447204,0.40833595,4,4
0.14563458,0.16914141,0.1426022,0.14264342,0.39997834,4,4
0.15200537,0.14609075,0.14403713,0.14354333,0.41432345,4,4
0.15391761,0.14966688,0.14383407,0.14387566,0.40870577,4,4
0.15007396,0.1511205,0.14763415,0.14336257,0.40780878,4,4
0.15238716,0.14759888,0.14607187,0.14349726,0.41044483,4,4
0.27526766,0.16909692,0.15486863,0.15491338,0.24585338,0,0
0.2080183,0.15335625,0.14513488,0.14517683,0.3483137,4,4
0.2601002,0.18628864,0.16159777,0.16164449,0.2303689,1,0
0.15764801,0.15447481,0.14256674,0.14277966,0.4025308,4,4
0.14571646,0.14485261,0.14491135,0.1430596,0.42145997,4,4
0.22779407,0.2768407,0.15694155,0.15712011,0.18130358,1,1
0.14582151,0.17914896,0.13568833,0.13572757,0.40361363,4,4
0.1865919,0.27555686,0.15364838,0.1536928,0.23051007,1,1
0.15000668,0.15247475,0.1495569,0.14257349,0.40538815,4,4
0.17757297,0.33280718,0.15700418,0.15414599,0.17846967,1,1
0.1720672,0.14304408,0.14119257,0.14045067,0.4032455,4,4
0.1599859,0.1429927,0.14208484,0.14159775,0.41333878,4,4
0.20290716,0.16475521,0.1512405,0.1504458,0.33065137,4,4
0.14661588,0.1574005,0.14455178,0.14285228,0.4085796,4,4
0.18673696,0.3156746,0.15692833,0.1532792,0.18738097,3,1
0.15833241,0.15719448,0.14352629,0.14316742,0.39777938,4,4
0.17320737,0.27045894,0.15676168,0.1557701,0.24380194,1,1
0.14107767,0.18268538,0.1376631,0.13719116,0.40138265,4,4
0.15737474,0.14670527,0.15433422,0.1400304,0.40155536,4,4
0.15983409,0.14395048,0.15708403,0.14040086,0.39873052,4,4
0.2820196,0.24252415,0.15561512,0.15597978,0.16386135,0,0
0.20267345,0.27396888,0.14783627,0.14800447,0.22751695,0,1
0.17039676,0.27919143,0.15844038,0.15041462,0.24155678,0,1
0.19435692,0.28552064,0.16871297,0.16072805,0.1906814,1,1
0.15650678,0.14567302,0.14304185,0.1422866,0.4124918,4,4
0.1599204,0.14738895,0.14361736,0.14286272,0.40621057,4,4
0.15116933,0.15373637,0.14699623,0.14593776,0.40216026,4,4
0.14465354,0.14134139,0.14145811,0.141499,0.43104798,4,4
0.14548126,0.14511393,0.14178002,0.14182103,0.42580378,4,4
0.14865774,0.15676345,0.14697953,0.14647564,0.40112364,4,4
0.22861956,0.23776746,0.16330113,0.16334833,0.20696352,1,1
0.14833617,0.14723912,0.14305197,0.14280027,0.4185725,4,4
0.14630257,0.15509295,0.14436987,0.1441122,0.4101224,4,4
0.26326504,0.2011362,0.15300812,0.15305233,0.22953832,0,0
0.17660673,0.15694456,0.1492649,0.14930806,0.36787575,4,4
0.29151198,0.19733721,0.15222499,0.15239817,0.20652765,0,0
0.14556596,0.15366638,0.14443848,0.14412098,0.41220826,4,4
0.1579907,0.14569525,0.1427331,0.14197949,0.41160145,4,4
0.16129905,0.1495813,0.1454512,0.14495258,0.39871582,4,4
0.1821409,0.16719015,0.15573785,0.15578286,0.33914822,4,4
0.17588392,0.34689897,0.15223607,0.15240927,0.17257173,1,1
0.23104905,0.24705403,0.16639914,0.1653466,0.19015114,1,1
0.14142652,0.14224814,0.1419178,0.14195882,0.43244871,4,4
0.29199275,0.19707999,0.1553032,0.15547991,0.20014413,0,0
0.2690755,0.18127763,0.15896763,0.1590136,0.23166566,0,0
0.26699546,0.22430357,0.1612932,0.16044568,0.18696204,0,0
0.3007849,0.21049233,0.15556338,0.15574038,0.17741902,0,0
0.146069,0.14155099,0.14191543,0.14195645,0.42850813,4,4
0.1416483,0.14167395,0.14198762,0.14202866,0.43266144,4,4
0.2258247,0.2449854,0.16762042,0.1655604,0.19600904,0,1
0.14602897,0.15981239,0.1434278,0.14346927,0.40726152,4,4
0.14629155,0.15984018,0.14425011,0.1442918,0.40532634,4,4
0.16536796,0.14962725,0.14458269,0.14408705,0.39633504,4,4
0.22833417,0.21335097,0.16270165,0.16262792,0.23298526,1,4
0.15483133,0.16387929,0.14274752,0.14268284,0.39585897,4,4
0.18452062,0.2753275,0.16946252,0.16647564,0.20421374,1,1
0.145749,0.14840972,0.1441035,0.14414516,0.4175926,4,4
0.15186375,0.14995895,0.14419794,0.14423963,0.40973967,4,4
0.15504153,0.14692014,0.14481577,0.14389609,0.40932643,4,4
0.25769007,0.23187496,0.16095626,0.15993816,0.18954049,0,0
0.16510862,0.1505001,0.14333373,0.14242347,0.39863405,4,4
0.178408,0.28950247,0.15349852,0.15354288,0.22504817,1,1
0.1599267,0.14762565,0.14487915,0.1428291,0.4047394,4,4
0.15623184,0.14904259,0.14322047,0.14246792,0.40903717,4,4
0.16404729,0.30832738,0.16223224,0.1566892,0.20870392,1,1
0.1517466,0.1442596,0.14350612,0.14301416,0.41747347,4,4
0.2553202,0.22790168,0.16511999,0.16530783,0.18635033,1,0
0.14901355,0.14679278,0.14130907,0.14134991,0.42153466,4,4
0.14577778,0.15327156,0.14097977,0.14102052,0.41895038,4,4
0.14988412,0.14594358,0.14331031,0.14335175,0.41751024,4,4
0.15101396,0.15198429,0.14439425,0.14443599,0.40817147,4,4
0.15231821,0.15024373,0.14460166,0.14384185,0.4089946,4,4
0.14857592,0.14921406,0.1426022,0.1423513,0.4172565,4,4
0.16538124,0.15866786,0.14315511,0.14266436,0.39013138,4,4
0.16716087,0.1524294,0.14245825,0.14249943,0.39545205,4,4
0.15043393,0.1541423,0.1436441,0.14368562,0.40809408,4,4
0.15549152,0.14899437,0.14300583,0.14275423,0.409754,4,4
0.17343347,0.30057573,0.17105505,0.15809,0.19684573,1,1
0.14587641,0.1478496,0.14477472,0.14401034,0.4174889,4,4
0.15595427,0.14813942,0.14385255,0.14389414,0.4081596,4,4
0.18141666,0.35748905,0.15094085,0.15111259,0.15904085,1,1
0.14398652,0.1478979,0.14152236,0.14156328,0.42502996,4,4
0.15275353,0.14316559,0.14128645,0.14132729,0.42146719,4,4
0.14774571,0.14522418,0.14290796,0.14294928,0.42117283,4,4
0.14353181,0.14222495,0.14150529,0.14154619,0.4311917,4,4
0.146755,0.145524,0.14203645,0.14301105,0.42267352,4,4
0.14140406,0.14315395,0.1417428,0.14178377,0.43191543,4,4
0.16765025,0.14476126,0.14109361,0.1411344,0.40536046,4,4
0.16137385,0.14413089,0.14047919,0.14051981,0.4134963,4,4
0.15726922,0.14383934,0.14061947,0.14066012,0.41761187,4,4
0.25592637,0.2452153,0.15633343,0.1565113,0.1860136,4,0
0.14599489,0.1478251,0.14191438,0.1419554,0.42231026,4,4
0.14598833,0.14323457,0.1415961,0.14163704,0.42754394,4,4
0.144555,0.14884137,0.14116518,0.14137602,0.42406243,4,4
0.14226763,0.14139439,0.1429545,0.14170572,0.4316777,4,4
0.14267151,0.16527864,0.13887219,0.13891234,0.4142653,4,4
0.17135704,0.32832494,0.15797682,0.15815656,0.1841846,1,1
0.16411518,0.26437598,0.15739153,0.15757062,0.2565467,4,1
0.14355974,0.14949714,0.14206773,0.1421088,0.42276657,4,4
0.14411828,0.142358,0.14136274,0.1414036,0.43075734,4,4
0.14755067,0.1426012,0.14141102,0.14145191,0.42698514,4,4
0.18923494,0.27140766,0.159854,0.16003586,0.21946752,1,1
0.14579466,0.14579837,0.14215454,0.14219564,0.42405677,4,4
0.14638904,0.14395985,0.14261194,0.14265317,0.42438605,4,4
0.15632503,0.14785472,0.14373764,0.14410648,0.4079761,4,4
0.14496803,0.14260626,0.14114521,0.14118601,0.4300945,4,4
0.19505319,0.28083318,0.16149098,0.16167471,0.20094793,0,1
0.14886762,0.14932139,0.14185305,0.14189406,0.41806382,4,4
0.19026569,0.31283525,0.15562299,0.15580004,0.18547606,1,1
0.17530762,0.29327455,0.16307285,0.16364059,0.20470436,3,1
0.14412774,0.14169054,0.14145935,0.14167061,0.43105173,4,4
0.17815349,0.286745,0.15415667,0.15433204,0.22661284,4,1
0.14600767,0.14186412,0.14186525,0.14190628,0.42835668,4,4
0.14955617,0.14464302,0.14103873,0.14107952,0.42368257,4,4
0.144278,0.14210582,0.14138107,0.14142193,0.43081316,4,4
0.1407001,0.1474197,0.14103714,0.1410779,0.42976516,4,4
0.19631492,0.26987725,0.16268077,0.16286585,0.2082612,4,1
0.1415289,0.1514916,0.14038906,0.14042965,0.4261608,4,4
0.15443814,0.149987,0.14509587,0.14513782,0.40534118,4,4
0.17705409,0.29166076,0.15598242,0.1560275,0.21927527,1,1
0.15173568,0.15541478,0.14283372,0.1420832,0.4079326,4,4
0.1926999,0.21612926,0.15459804,0.15477394,0.28179884,4,4
0.14689818,0.15605028,0.14461105,0.14369267,0.40874776,4,4
0.14353992,0.1589863,0.14217706,0.14168966,0.41360706,4,4
0.31610063,0.16471964,0.149562,0.14949425,0.22012347,0,0
0.16339405,0.14817321,0.1432483,0.1431834,0.40200105,4,4
0.16995719,0.2831454,0.17416334,0.15946245,0.21327163,2,1
0.15707618,0.16047378,0.14103149,0.14077978,0.4006388,4,4
0.15888056,0.14559506,0.14799412,0.14130953,0.4062207,4,4
0.1531975,0.14965446,0.14454152,0.14378202,0.40882447,4,4
0.20375039,0.23292392,0.16018625,0.1602495,0.24288996,0,4
0.15599552,0.14708559,0.14332981,0.14326487,0.41032425,4,4
0.26867214,0.16756113,0.15305726,0.1531015,0.25760794,1,0
0.27240205,0.18616983,0.15894227,0.15930381,0.22318202,1,0
0.17408745,0.24608663,0.16481704,0.15966828,0.2553406,1,4
0.15414031,0.15410618,0.1454054,0.14464137,0.40170673,4,4
0.13627446,0.21350306,0.13564768,0.1345304,0.38004443,4,4
0.18118298,0.34071276,0.15551928,0.15130839,0.17127657,2,1
0.26900873,0.23976754,0.16167635,0.15480752,0.17473988,1,0
0.2143439,0.25115794,0.17378266,0.16635442,0.19436109,1,1
0.1601222,0.33815354,0.14853545,0.14649111,0.20669767,1,1
0.2300629,0.2626991,0.16428283,0.16137452,0.18158062,0,1
0.1593769,0.36796254,0.1471654,0.14640915,0.179086,1,1
0.19960426,0.25474262,0.18290514,0.16102986,0.2017181,0,1
0.16880082,0.34272546,0.1494039,0.14891878,0.19015107,1,1
0.17143802,0.23396128,0.19490711,0.16138893,0.23830469,0,4
0.18762486,0.22165886,0.16987064,0.16611704,0.25472862,4,4
0.14585523,0.1560609,0.14369111,0.14431731,0.4100754,4,4
0.15764083,0.3662189,0.1457039,0.14466155,0.18577482,1,1
0.15815838,0.35950837,0.15163772,0.147853,0.18284251,1,1
0.149227,0.14839384,0.16223691,0.14386703,0.39627525,4,4
0.15769884,0.3309509,0.14692706,0.14516586,0.21925737,1,1
0.15995027,0.24723703,0.14099886,0.14103962,0.31077424,1,4
0.16610442,0.31946468,0.15763608,0.14962004,0.20717476,1,1
0.21163417,0.1592797,0.14956976,0.14961301,0.32990336,0,4
0.15790291,0.24928081,0.14555368,0.14478885,0.30247378,1,4
0.18346657,0.20012249,0.16582304,0.15187997,0.2987079,0,4
0.26526624,0.2198505,0.15999296,0.15947348,0.19541681,4,0
0.15855351,0.32886836,0.20110872,0.14096574,0.17050368,1,1
0.18713585,0.29698926,0.15528041,0.1523294,0.20826504,4,1
0.08202341,0.71642524,0.038757347,0.020289524,0.14250453,1,1
0.01762352,0.17676346,0.009401411,0.00661067,0.7896009,4,4
0.018935807,0.15621343,0.039067965,0.009583592,0.7761992,4,4
0.061016582,0.3026038,0.06329594,0.018564554,0.5545191,4,4
0.40987924,0.45307937,0.019547792,0.023864292,0.09362928,1,1
0.011195359,0.0095669525,0.0061612185,0.004271801,0.9688046,4,4
0.23932713,0.11879554,0.010679232,0.01266747,0.61853063,4,4
0.4671869,0.3039262,0.020011732,0.026352884,0.18252227,1,0
0.014370734,0.012805979,0.030472597,0.0070338873,0.93531686,4,4
0.0452834,0.06986219,0.0063677263,0.016682714,0.861804,4,4
0.3333535,0.3875548,0.024130227,0.031776413,0.22318509,0,1
0.017963026,0.0459728,0.003381659,0.0040112515,0.9286713,4,4
0.011458872,0.011698587,0.010298729,0.0100914845,0.9564523,4,4
0.011630015,0.0077495994,0.003297568,0.003911504,0.9734114,4,4
0.10994173,0.5879519,0.053255573,0.026921183,0.22192961,4,1
0.5800163,0.2999054,0.01159861,0.015273884,0.0932058,0,0
0.014868914,0.007236164,0.0036798685,0.004364979,0.9698501,4,4
0.47606835,0.1567385,0.07525644,0.030060228,0.2618765,0,0
0.0122026205,0.006137136,0.0132573135,0.006100836,0.96230215,4,4
0.015925763,0.044028256,0.0027218976,0.0032286567,0.9340954,4,4
0.012097859,0.006402132,0.0033273841,0.007622758,0.9705499,4,4
0.020449191,0.025302686,0.0025581778,0.003034454,0.94865555,4,4
0.10389159,0.64768106,0.026122516,0.020409968,0.2018948,1,1
0.0049066637,0.011297123,0.0055301506,0.004014597,0.97425145,4,4
0.0063425726,0.013036747,0.0063178577,0.0049362504,0.9693666,4,4
0.005533834,0.010947534,0.013284615,0.004259323,0.9659747,4,4
0.48198813,0.20455772,0.16385873,0.06669628,0.08289917,2,0
0.13265605,0.68042195,0.0153536135,0.02021874,0.15134962,0,1
0.5073682,0.24159938,0.074078694,0.017785892,0.1591678,1,0
0.01685528,0.00833998,0.01617654,0.0049378327,0.95369035,4,4
0.014791585,0.0070734876,0.01619267,0.0049427566,0.95699954,4,4
0.016403569,0.0120484475,0.011167545,0.005929978,0.9544505,4,4
0.042672276,0.6966372,0.10427227,0.016536208,0.139882,1,1
0.005353291,0.013686185,0.0129944375,0.005604685,0.9623614,4,4
0.00965218,0.0057011005,0.010841884,0.0039723786,0.96983254,4,4
0.012935529,0.008161374,0.0070016426,0.0059709013,0.9659305,4,4
0.27718717,0.113862306,0.025949309,0.019207928,0.5637933,4,4
0.009425297,0.0051148855,0.0032858218,0.003897571,0.97827643,4,4
0.01578086,0.10643879,0.0031711007,0.0037614915,0.87084776,4,4
0.014984199,0.06614766,0.0030110145,0.0035716007,0.91228557,4,4
0.0056759994,0.0097326115,0.008243706,0.005387904,0.9709598,4,4
0.0054897116,0.010430974,0.008778053,0.0053821295,0.9699191,4,4
0.0076668183,0.009385715,0.0035892038,0.004257434,0.9751008,4,4
0.100972265,0.61311847,0.13251771,0.01974705,0.13364452,1,1
0.05772472,0.65818936,0.058927495,0.02072946,0.20442899,1,1
