prob_class_0,prob_class_1,prob_class_2,prob_class_3,prob_class_4,true_label,pred_label
0.040532168,0.038271617,0.040443186,0.038119502,0.84263355,4,4
0.041322008,0.03796601,0.039917737,0.038121287,0.84267294,4,4
0.5095599,0.18783307,0.06486776,0.06859076,0.16914849,0,0
0.4606819,0.18149383,0.06276094,0.06636302,0.22870034,0,0
0.45446882,0.20740202,0.0719448,0.075926565,0.19025776,1,0
0.09507365,0.05934128,0.03210363,0.032052957,0.78142846,4,4
0.038439617,0.038118467,0.038116194,0.03833556,0.8469902,4,4
0.0383803,0.03744178,0.038295276,0.04889791,0.83698475,4,4
0.03856717,0.1343161,0.03513564,0.035080176,0.7569009,4,4
0.043684337,0.037863184,0.03996994,0.038091853,0.8403906,4,4
0.038510714,0.037902344,0.038235243,0.03805737,0.84729433,4,4
0.043714665,0.03772176,0.045336578,0.04295653,0.83027047,4,4
0.062379416,0.045074057,0.050540052,0.047944423,0.794062,4,4
0.35354263,0.14892684,0.06697479,0.06712776,0.36342794,0,4
0.18359359,0.10874866,0.054021373,0.054040823,0.59959555,4,4
0.40178844,0.1963322,0.08664139,0.08650463,0.22873335,1,0
0.044133138,0.07190588,0.037359446,0.04179489,0.8048067,4,4
0.042135064,0.03753613,0.05538981,0.038754348,0.82618463,4,4
0.2021153,0.48914695,0.06617687,0.074214175,0.16834667,1,1
0.09058821,0.24967982,0.052276406,0.052227583,0.555228,4,4
0.20020382,0.45809418,0.073507816,0.07350156,0.19469258,1,1
0.059819043,0.04369908,0.07520434,0.04148895,0.77978855,4,4
0.15918508,0.5154986,0.093140066,0.072735935,0.15944034,1,1
0.074996315,0.044495918,0.044761624,0.04221987,0.79352623,4,4
0.043696832,0.037874017,0.03976914,0.038028914,0.84063107,4,4
0.15000205,0.13037542,0.06482677,0.059523094,0.59527266,4,4
0.04152369,0.038688798,0.044030104,0.03843677,0.8373206,4,4
0.14743045,0.56295276,0.08704966,0.06309593,0.1394712,3,1
0.07288848,0.046142794,0.058973014,0.0443922,0.7776035,4,4
0.15104392,0.45278737,0.09757484,0.08234525,0.21624857,1,1
0.049944956,0.1963793,0.038944345,0.036536764,0.67819464,4,4
0.07235081,0.04319534,0.0770967,0.047801107,0.75955606,4,4
0.07256937,0.04257366,0.0849396,0.05083858,0.74907875,4,4
0.3638487,0.28965786,0.069712006,0.10622525,0.17055622,0,0
0.17888702,0.4970877,0.064764015,0.06834836,0.19091293,0,1
0.13645779,0.5240915,0.10485762,0.0643975,0.17019562,0,1
0.21648854,0.40924746,0.104027465,0.08294003,0.18729651,1,1
0.041199625,0.037881423,0.042564183,0.038069382,0.8402854,4,4
0.061642636,0.04508101,0.047180466,0.0428026,0.8032933,4,4
0.058230415,0.04410065,0.0520509,0.07297901,0.77263904,4,4
0.038520336,0.037900157,0.038230587,0.038117345,0.8472315,4,4
0.0396115,0.07666344,0.036487877,0.036430277,0.8108069,4,4
0.040508796,0.037893414,0.041331463,0.039204683,0.8410617,4,4
0.39564633,0.27964228,0.08331196,0.083784744,0.15761474,1,0
0.055262055,0.04592378,0.04794976,0.04415908,0.80670536,4,4
0.04082229,0.03824814,0.040586237,0.03826389,0.84207946,4,4
0.43002903,0.22192818,0.069690555,0.06923089,0.2091213,0,0
0.16421448,0.1245714,0.05565093,0.054917593,0.6006456,4,4
0.38978866,0.25602767,0.07361033,0.07673932,0.203834,0,0
0.0406064,0.037973084,0.04099652,0.038105257,0.8423187,4,4
0.04050202,0.03790787,0.0425939,0.03812411,0.8408721,4,4
0.04054498,0.037940595,0.041225314,0.038180187,0.8421089,4,4
0.1588715,0.15803273,0.067086965,0.06689382,0.54911494,4,4
0.15322912,0.5542958,0.0628867,0.070751555,0.15883687,1,1
0.22911021,0.3527484,0.10188782,0.08714836,0.22910517,1,1
0.038338214,0.03767107,0.038529795,0.043350484,0.8421104,4,4
0.47819677,0.20228383,0.0680885,0.07322807,0.17820278,0,0
0.43082726,0.19190855,0.083296396,0.08327519,0.21069263,0,0
0.2343136,0.35379896,0.09466084,0.08732315,0.22990346,0,1
0.49942726,0.19073321,0.06793783,0.07130889,0.17059278,0,0
0.038627505,0.037871785,0.038724493,0.03817893,0.84659725,4,4
0.038627505,0.037871785,0.038724493,0.03817893,0.84659725,4,4
0.35778978,0.28868803,0.09260063,0.09674604,0.16417551,0,0
0.03989914,0.03795436,0.038651746,0.038341586,0.84515315,4,4
0.039197866,0.037852373,0.038547885,0.03823856,0.84616333,4,4
0.04363005,0.03783648,0.04074418,0.037991226,0.83979803,4,4
0.25292692,0.27059028,0.107142515,0.08881883,0.28052148,1,4
0.050215907,0.087713405,0.045763317,0.037696358,0.778611,4,4
0.13325736,0.47494647,0.10738582,0.08566576,0.19874457,1,1
0.039986875,0.03796388,0.03826425,0.038311955,0.84547305,4,4
0.03844342,0.037904773,0.03819294,0.03811027,0.84734863,4,4
0.04834584,0.03846152,0.04198437,0.038522046,0.83268625,4,4
0.2511583,0.353054,0.09219088,0.083571285,0.22002554,0,1
0.052428007,0.037738357,0.04132814,0.037869725,0.8306358,4,4
0.15767251,0.5075059,0.07251885,0.07240438,0.18989839,1,1
0.058825135,0.066508316,0.04453446,0.03885047,0.7912816,4,4
0.06342106,0.04534783,0.045691032,0.0428176,0.80272245,4,4
0.13460825,0.51280004,0.08245233,0.06608417,0.2040552,1,1
0.04362117,0.037808433,0.04137582,0.0380191,0.83917546,4,4
0.38442367,0.25025576,0.07828006,0.092719816,0.1943207,1,0
0.08661325,0.07018671,0.034815047,0.034699023,0.77368593,4,4
0.084527545,0.06888776,0.03417072,0.034056854,0.77835715,4,4
0.03858415,0.037912726,0.038330704,0.038079504,0.8470929,4,4
0.039862897,0.07699703,0.036509324,0.036404204,0.81022656,4,4
